iter	Passed	Remaining
775	1966	567
776	1968	564
777	1970	562
778	1972	559
779	1973	556
780	1974	553
781	1976	550
782	1978	548
783	1980	545
784	1982	542
785	1989	541
786	1991	539
787	1993	536
788	1995	533
789	1996	530
790	1998	528
791	2000	525
792	2001	522
793	2003	519
794	2005	517
795	2007	514
796	2008	511
797	2010	509
798	2014	506
799	2016	504
800	2018	501
801	2019	498
802	2021	495
803	2023	493
804	2025	490
805	2026	487
806	2028	485
807	2030	482
808	2031	479
809	2033	476
810	2034	474
811	2036	471
812	2037	468
813	2039	465
814	2040	463
815	2043	460
816	2045	458
817	2046	455
818	2048	452
819	2050	450
820	2051	447
821	2053	444
822	2055	442
823	2059	439
824	2060	437
825	2061	434
826	2063	431
827	2064	428
828	2066	426
829	2068	423
830	2070	421
831	2075	419
832	2077	416
833	2079	413
834	2081	411
835	2082	408
836	2084	405
837	2085	403
838	2087	400
839	2089	397
840	2090	395
841	2091	392
842	2093	389
843	2094	387
844	2095	384
845	2097	381
846	2098	379
847	2100	376
848	2102	373
849	2104	371
850	2106	368
851	2108	366
852	2109	363
853	2111	360
854	2113	358
855	2115	355
856	2121	354
857	2123	351
858	2125	348
859	2127	346
860	2129	343
861	2131	341
862	2134	338
863	2136	336
864	2138	333
865	2140	331
866	2141	328
867	2143	325
868	2145	323
869	2146	320
870	2148	318
871	2149	315
872	2150	312
873	2152	310
874	2153	307
875	2155	305
876	2159	302
877	2161	300
878	2163	297
879	2165	295
880	2167	292
881	2169	290
882	2171	287
883	2173	285
884	2175	282
885	2179	280
886	2181	277
887	2183	275
888	2185	272
889	2187	270
890	2189	267
891	2190	265
892	2194	262
893	2196	260
894	2197	257
895	2199	255
896	2201	252
897	2202	250
898	2206	247
899	2209	245
900	2212	243
901	2215	240
902	2217	238
903	2218	235
904	2220	233
905	2225	230
906	2230	228
907	2234	226
908	2236	223
909	2238	221
910	2239	218
911	2240	216
912	2242	213
913	2244	211
914	2245	208
915	2247	206
916	2251	203
917	2254	201
